Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","2u2","C_0603",104.900000,-114.400000,180.000000,top
"C2","2u2","C_0603",103.450000,-109.500000,-90.000000,top
"C3","2u2","C_0603",100.550000,-112.750000,180.000000,top
"C4","2u2","C_0603",97.050000,-116.900000,180.000000,top
"C5","2u2","C_0603",94.600000,-119.300000,-90.000000,top
"C6","2u2","C_0603",94.600000,-123.100000,-90.000000,top
"C7","2u2","C_0603",94.600000,-126.900000,-90.000000,top
"R1","47","R_0603",100.800000,-119.350000,-90.000000,top
"R2","47","R_0603",100.800000,-123.150000,-90.000000,top
"R3","47","R_0603",100.800000,-126.950000,-90.000000,top
"R4","47","R_0603",100.350000,-114.250000,0.000000,top
"R5","3k3","R_0603",91.400000,-116.900000,0.000000,top
"R6","3k3","R_0603",94.200000,-116.900000,0.000000,top
"SW1","CFG","SW_DIP_SPSTx05_Slide_DSHP05TS_P1.27mm",94.424500,-111.315500,0.000000,top
"U1","30M","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.700000,-119.400000,0.000000,top
"U2","32M","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.700000,-123.200000,0.000000,top
"U3","36M","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.700000,-127.000000,0.000000,top
"U4","74LVC1G08GW","SOT-353",100.400000,-116.400000,90.000000,top
"U5","74LVC1G08GW","SOT-353",91.950000,-119.350000,-90.000000,top
"U6","74LVC1G86GW","SOT-353",91.950000,-123.150000,-90.000000,top
"U7","74LVC1G02GW","SOT-353",91.950000,-126.950000,-90.000000,top
"U8","XC6206PxxxMR","SOT-23",100.550000,-109.800000,-90.000000,top
